Date  | Spec | Num
====================
06/15 | 249  | 385
06/16 | 280  | 430
06/17 | 272  | 448
06/18 | 301  | 444
06/19 | 317  | 462
06/20 | 287  | 461
06/21 |      |
06/22 |      |
06/23 | 321  | 489
06/24 | 339  | 513
06/25 | 335  | 488
06/26 | 361  | 485
06/27 | 368  | 514
06/28 | 357  | 545
06/29 | 342  | 545
06/30 |      |
07/01 | 343  | 533
07/02 | 361  | 548
07/03 | 362  | 563
07/04 |      |
07/05 |      |
07/06 |      |
07/07 | 390  | 600
07/08 | 389  | 594
07/09 | 386  | 
07/10 | 375  | 563
07/11 | 378  | 604
07/12 | 402  | 573
07/13 | 388  | 603
07/14 | 373  | 514
07/15 | 326  |     <--- FROM HERE FORWARD, ODD DAYS WILL BE FOR ACCURACY, EVEN DAYS FOR SPEED

Small change
